index;x;y;z
0;-0.012903;-0.003723;0.022272
1;0.036305;0.010764;0.001476
2;-0.007425;-0.009017;-0.003467
3;-0.021182;-0.003538;-0.007329
4;0.008159;-0.001081;0.000180
5;0.016082;-0.003916;0.009959
6;0.011716;-0.001057;-0.002285
7;0.002937;-0.004096;-0.006484
8;-0.014215;-0.005670;-0.006263
9;-0.021863;-0.001599;0.001233
10;-0.013200;0.002578;0.006088
11;-0.001427;-0.003679;-0.000386
12;0.016001;-0.009480;0.001607
13;0.027310;-0.001249;0.001825
14;0.014247;-0.006070;0.003808
15;-0.008501;-0.000169;0.000775
16;-0.012194;-0.005992;0.006962
17;-0.003458;-0.003098;0.005285
18;0.008785;-0.000822;0.003699
19;0.008511;-0.007450;-0.003353
20;-0.012396;0.005924;-0.005964
21;-0.004640;-0.010393;-0.001053
22;0.000854;-0.004897;-0.005862
23;-0.016327;-0.000787;-0.006500
24;-0.022697;-0.003811;-0.000933
25;-0.011818;-0.006350;0.010134
26;-0.007599;0.006353;-0.004084
27;0.002204;-0.005273;-0.008484
28;-0.007300;0.009408;-0.047822
29;-0.046066;-0.041996;-0.046244
30;-0.020474;0.026687;0.034258
31;0.087106;-0.012706;0.073766
32;0.102953;0.001245;0.014081
33;-0.019118;-0.006985;-0.003931
34;-0.033482;-0.003372;0.008327
35;0.026287;0.006088;0.001127
36;0.006258;-0.019602;0.021855
37;-0.008521;0.003270;0.018468
38;-0.014949;-0.016679;0.009955
39;-0.011838;-0.003748;-0.005749
40;-0.004886;0.011135;0.002130
41;0.004722;-0.009443;0.004538
42;-0.011098;-0.029801;-0.008238
43;-0.077292;-0.020702;-0.016741
44;-0.151718;-0.013998;-0.010937
45;-0.287525;-0.023026;0.002575
46;-0.370198;0.042157;0.115690
47;0.086365;-0.170796;0.085913
48;-0.070873;-0.246902;0.013557
49;-0.407558;-0.168402;0.011141
50;-0.123303;0.082008;0.089384
51;0.542682;0.222188;0.171398
52;0.260997;0.349999;0.047031
53;-0.003538;0.284431;0.000413
54;-0.194607;0.182196;-0.094108
55;-0.131751;0.017357;-0.151414
56;0.058871;-0.031826;-0.100975
57;0.239773;-0.104474;0.077142
58;0.348690;-0.094342;0.016794
59;0.132826;-0.034662;-0.110712
60;0.114703;0.024190;-0.147030
61;0.316270;0.106698;-0.128035
62;0.314450;0.184653;-0.010245
63;-0.564927;-0.668584;0.239445
64;0.333910;0.142712;-0.248455
65;-0.016976;-0.014910;-0.079437
66;0.189332;0.043922;0.095095
67;0.022134;0.004968;0.161832
68;-0.054883;-0.000469;0.017991
69;-0.112634;-0.009560;0.093478
70;0.084755;-0.016385;0.041888
71;0.097446;-0.009483;-0.093840
72;0.009077;-0.001453;0.038944
73;0.048649;-0.005384;-0.034768
74;-0.134978;0.001714;0.021898
75;-0.055251;-0.023394;-0.005790
76;0.076058;-0.037493;0.017591
77;0.000224;-0.055405;0.065825
78;-0.010686;-0.066381;0.049966
79;-0.167947;-0.241387;0.152644
80;-0.551461;-0.211343;-0.105982
81;-0.718692;-0.211836;-0.171116
82;-0.485303;-0.250482;-0.057042
83;-0.373762;-0.104687;0.012462
84;-0.008660;-0.188444;0.266752
85;-0.069153;-0.058655;0.091737
86;-0.183072;0.036640;0.056885
87;-0.252619;0.299275;-0.112946
88;-0.181428;0.268973;-0.116806
89;0.157113;0.010515;-0.054281
90;0.132506;-0.044294;0.042326
91;0.275672;-0.156515;0.019839
92;0.500774;0.049590;0.015841
93;0.583644;-0.040126;0.113685
94;0.563619;0.153742;0.140103
95;0.528441;0.023958;0.123039
96;-0.217232;-0.653730;0.109407
97;0.403924;0.144556;-0.254113
98;0.170222;-0.007788;-0.014820
99;0.182112;0.070257;0.314991
100;0.016734;-0.063021;-0.028381
101;-0.029378;-0.091621;-0.055865
102;-0.019389;0.011631;0.093794
103;0.144561;-0.007295;0.058056
104;-0.020787;-0.011165;-0.015503
105;-0.211049;0.001213;-0.086362
106;-0.212540;0.021369;0.025152
107;-0.041895;-0.067038;0.005543
108;-0.100533;-0.070360;0.028529
109;-0.173839;-0.167292;0.042315
110;-0.207537;-0.339843;0.003354
111;-0.673263;-0.635010;-0.059350
112;-0.982605;-0.524365;-0.154405
113;-0.676952;-0.200090;-0.117049
114;-0.138473;-0.174604;0.008933
115;-0.022277;-0.114750;0.180601
116;-0.012954;0.105581;0.073173
117;-0.059395;0.218776;0.075627
118;-0.306385;0.502046;-0.166113
119;-0.149015;0.282907;-0.116606
120;0.139197;0.043135;-0.112085
121;0.449210;-0.150668;0.075599
122;0.621874;-0.307907;0.391620
123;0.796250;-0.122333;0.158425
124;0.637417;-0.079648;0.200247
125;0.264728;-0.487796;-0.187195
126;-0.254393;-0.095472;-0.267081
127;0.602150;0.155927;-0.088175
128;0.210850;-0.040888;0.256189
129;0.302491;0.051820;0.186974
130;-0.224149;-0.156600;-0.132289
131;-0.104585;0.000706;0.007004
132;0.093394;0.054294;0.098992
133;-0.023857;-0.009953;-0.012198
134;-0.104707;-0.022005;-0.028235
135;-0.075854;-0.045689;-0.027973
136;-0.205943;-0.180239;0.010035
137;-0.475263;-0.277726;-0.059595
138;-0.477156;-0.352734;-0.151793
139;-0.892094;-0.780414;-0.137931
140;-1.133205;-0.514156;-0.071966
141;-0.447298;-0.108502;-0.018815
142;0.002667;-0.150266;0.214667
143;0.232344;0.122530;0.081043
144;0.195379;0.335539;0.221443
145;0.093620;0.560088;0.045070
146;-0.038390;0.702422;-0.097760
147;-0.014109;0.215758;-0.182029
148;0.203541;-0.275843;-0.113684
149;0.689985;-0.566129;0.482896
150;0.896613;-0.058443;0.082074
151;0.506649;-0.126453;0.044498
152;0.099873;-0.567658;-0.203795
153;-0.748048;0.036013;-0.119872
154;1.089347;0.106697;-0.058570
155;0.471912;-0.080628;0.279473
156;0.153403;0.008537;0.090252
157;-0.297862;-0.125103;-0.004652
158;0.133672;-0.015542;-0.001373
159;0.154272;0.019448;0.051747
160;-0.164711;0.008579;0.046559
161;-0.184427;-0.000208;0.042083
162;-0.063417;0.004533;-0.033415
163;-0.303208;-0.103747;-0.037820
164;-0.470227;-0.164450;-0.036970
