index;x;y;z
0;-0.104924;-0.049147;-0.008202
1;0.006173;0.051805;-0.007936
2;-0.016900;-0.038667;0.041013
3;0.042384;-0.000886;0.042932
4;0.126404;0.062430;-0.023733
5;0.028977;-0.024289;-0.039676
6;-0.023572;-0.008347;0.002550
7;0.020151;-0.017340;0.011862
8;-0.006732;-0.026230;0.011610
9;-0.000188;-0.021906;0.022037
10;0.013881;-0.009999;-0.010559
11;-0.005193;-0.001159;-0.047719
12;-0.030416;-0.020780;-0.018099
13;-0.013742;-0.005891;-0.003619
14;0.008349;0.008602;0.011812
15;0.011332;-0.000103;0.012572
16;0.003793;0.022504;0.009177
17;0.014966;0.002934;0.013008
18;-0.002292;0.000754;0.027091
19;-0.009117;-0.004536;0.029750
20;0.011342;-0.007098;0.028909
21;0.003823;-0.000398;0.011914
22;0.005675;0.010744;0.009749
23;0.024004;0.004901;-0.001955
24;0.013809;-0.005646;-0.013032
25;-0.026802;-0.025006;-0.045377
26;-0.033175;-0.032934;-0.070346
27;-0.020885;-0.005927;-0.042472
28;-0.021738;0.010487;-0.044892
29;0.013855;0.024344;-0.024842
30;0.047978;-0.019850;0.012855
31;0.036080;-0.032894;0.043279
32;-0.016953;-0.041951;-0.001865
33;-0.039773;-0.004605;-0.069540
34;-0.038857;0.015060;-0.063795
35;0.017799;0.021684;-0.020687
36;0.073608;0.003965;0.037852
37;0.055531;-0.014598;0.077204
38;-0.019033;-0.023284;0.032015
39;-0.036019;0.004165;-0.066650
40;-0.004291;0.029021;-0.061832
41;0.002828;0.012885;0.031768
42;0.051753;-0.020805;0.041289
43;0.007618;-0.035847;0.034734
44;-0.022518;-0.024923;0.000205
45;-0.000323;0.032470;-0.030417
46;0.041459;0.015986;0.003213
47;0.000453;0.046674;0.008662
48;-0.026328;0.020105;-0.030475
49;0.026680;0.016567;0.031524
50;0.083963;0.040015;0.139605
51;0.090655;0.025684;0.083918
52;0.013234;0.029653;-0.017704
53;0.003250;0.042223;-0.082665
54;0.041162;0.037486;-0.039266
55;0.049007;0.019331;0.025936
56;0.095878;-0.009003;0.060236
57;0.059664;-0.073795;0.019584
58;0.005812;-0.061079;-0.002419
59;0.059911;0.017383;-0.016565
60;-0.002653;0.041613;-0.068896
61;-0.008568;-0.007017;0.010474
62;-0.021852;-0.013565;0.058016
63;0.059249;0.098495;0.147961
64;0.134290;0.044891;0.164413
65;0.066834;0.064691;0.119209
66;0.162226;0.045186;0.084479
67;0.175652;0.030371;0.147214
68;0.068523;-0.086311;0.053105
69;-0.307835;0.078112;-0.043244
70;-0.573478;0.144347;-0.201604
71;-0.547405;-0.216638;-0.484432
72;-0.802864;-0.326148;-0.324364
73;-0.822747;-0.242414;-0.207784
74;-0.623402;0.015739;-0.254755
75;-0.440604;0.124164;-0.374227
76;-0.299316;0.221643;-0.328251
77;-0.110284;0.229707;-0.207156
78;0.091792;0.313856;-0.039678
79;0.262766;0.372436;0.042610
80;0.369050;0.376683;0.091099
81;0.564067;0.395747;0.160613
82;0.758593;0.380780;0.182514
83;0.846208;0.356811;0.131878
84;0.857427;0.384720;0.161826
85;0.748509;0.501413;0.148447
86;0.787064;0.592013;0.072004
87;0.632868;0.539839;-0.098247
88;0.369077;0.448894;-0.233423
89;0.033454;0.490489;-0.203616
90;-0.147623;0.514564;-0.155610
91;-0.319946;0.497011;-0.236395
92;-0.494614;0.303594;-0.331649
93;-0.659847;0.075688;-0.351475
94;-0.826996;-0.084596;-0.308908
95;-0.771254;-0.211390;-0.287229
96;-0.823064;-0.331829;-0.256422
97;-0.868020;-0.351866;-0.177072
98;-0.885079;-0.181318;-0.118302
99;-0.899230;-0.121932;-0.265794
100;-0.831458;0.104368;-0.296884
101;-0.568594;0.092850;-0.390134
102;-0.386108;0.097464;-0.434783
103;-0.260523;0.279823;-0.362957
104;-0.123266;0.572147;-0.238573
105;0.012188;0.734474;-0.218760
106;0.226950;0.762110;-0.262816
107;0.475735;0.597813;-0.211977
108;0.637939;0.468953;-0.015118
109;0.873544;0.397335;0.200372
110;0.988289;0.351878;0.302906
111;0.839111;0.313416;0.176364
112;0.820396;0.260233;0.045715
113;0.842620;0.308767;-0.003502
114;0.706322;0.474863;-0.029942
115;0.656041;0.675288;-0.147937
116;0.437105;0.729874;-0.285610
117;0.109316;0.538047;-0.348437
118;-0.163980;0.331482;-0.250182
119;-0.316375;0.325629;-0.158505
120;-0.460047;0.355820;-0.181961
121;-0.561201;0.210429;-0.251791
122;-0.688202;0.063261;-0.241154
123;-0.807517;-0.093997;-0.253630
124;-0.869307;-0.191514;-0.260444
125;-0.847904;-0.267948;-0.271995
126;-0.773306;-0.297937;-0.258638
127;-0.683981;-0.189717;-0.199673
128;-0.634929;-0.078528;-0.163975
129;-0.546000;0.164389;-0.145281
