index;x;y;z
0;-0.001107;0.000714;0.000467
1;-0.001682;-0.005850;0.001557
2;-0.002317;-0.004788;-0.001245
3;-0.002750;-0.005772;0.000064
4;0.000526;-0.005637;0.000731
5;0.001190;-0.005892;0.000247
6;0.001325;-0.004889;-0.000278
7;0.000139;-0.006972;0.001035
8;0.002010;-0.004585;0.000137
9;0.001333;-0.003778;0.000774
10;0.001423;-0.006221;-0.000703
11;0.001134;-0.006586;-0.001940
12;0.001924;-0.005211;-0.002296
13;-0.000136;-0.004373;-0.000867
14;-0.000521;-0.005742;-0.001922
15;0.000152;-0.004949;-0.000457
16;0.000205;-0.005640;-0.001303
17;-0.000303;-0.004160;0.000036
18;-0.000194;-0.006227;-0.001193
19;-0.000549;-0.006148;0.000410
20;0.000942;-0.001931;0.000208
21;0.003092;-0.003672;0.001277
22;0.001972;-0.005602;0.000165
23;0.000930;-0.006071;-0.000710
24;0.001244;-0.003806;0.001118
25;-0.001479;-0.005378;0.002814
26;-0.000059;-0.004921;0.000319
27;-0.000337;-0.003632;0.000752
28;0.000723;-0.005826;0.000640
29;0.002764;-0.003430;-0.001818
30;0.003523;-0.006136;-0.000381
31;0.003006;-0.004618;-0.000437
32;0.004456;-0.004309;-0.001333
33;0.005593;-0.003553;0.001275
34;-0.002341;-0.004767;0.002619
35;-0.000399;-0.004861;0.002296
36;0.000668;-0.005668;0.000712
37;0.001636;-0.005872;-0.002422
38;0.002975;-0.006306;-0.007052
39;0.002977;-0.005032;-0.004797
40;0.000386;-0.002990;-0.002023
41;0.002164;-0.003997;0.002196
42;0.000595;-0.004084;0.003332
43;-0.001011;-0.003356;0.005925
44;-0.002526;-0.005495;0.002287
45;-0.000023;-0.006320;0.001739
46;0.001943;-0.003506;0.002680
47;-0.001036;-0.005518;-0.000790
48;0.000714;-0.002919;0.000835
49;0.004470;-0.005434;-0.001562
50;0.004190;-0.005952;-0.000010
51;0.004310;-0.003532;0.000327
52;0.003345;-0.004821;0.002333
53;0.002968;-0.003650;0.000414
54;0.001146;-0.007299;-0.001676
55;0.001503;-0.011143;-0.000259
56;0.002089;-0.008565;-0.003838
57;-0.006613;-0.016064;0.018362
