index;x;y;z
0;0.017605;-0.000014;-0.013182
1;0.009396;-0.011649;-0.007990
2;0.005565;-0.008755;0.009734
3;0.004652;0.011346;0.002661
4;-0.014863;-0.005978;-0.000167
5;-0.002351;0.001875;0.001043
6;0.001375;-0.005949;-0.000057
7;-0.011840;-0.004431;-0.000147
8;-0.020206;0.004925;0.000640
9;-0.026851;0.005509;0.012820
10;-0.007055;-0.027978;0.014206
11;0.014237;0.000120;-0.011663
12;0.027042;-0.027935;-0.014849
13;0.019854;-0.011971;-0.001803
14;-0.001804;-0.020045;-0.003867
15;-0.023697;0.015906;0.002951
16;-0.030054;0.001496;0.009720
17;-0.002195;-0.003314;-0.011894
18;0.010652;-0.011192;0.001208
19;0.013647;-0.004099;-0.011972
20;0.004679;-0.015026;-0.002694
21;-0.004765;0.001631;0.000992
22;-0.012775;-0.001946;-0.001981
23;-0.008691;-0.008109;-0.001401
24;-0.008931;-0.001769;-0.003227
25;0.010431;-0.008119;0.002025
26;0.017532;-0.006104;0.007739
27;0.017010;-0.011446;0.007911
28;0.021642;0.000112;0.009865
29;0.014295;-0.005578;0.020368
30;0.015118;-0.006666;0.011512
31;0.014964;-0.010656;0.012635
32;0.007746;-0.007054;0.010456
33;0.009545;-0.001787;0.005349
34;0.006700;-0.016407;-0.000659
35;0.007303;-0.007688;-0.010411
36;0.004927;-0.005920;0.001922
37;-0.017057;-0.005463;0.002189
38;-0.016651;-0.003597;-0.008902
39;-0.010012;-0.001490;-0.002781
40;-0.004799;-0.007335;-0.007995
41;0.002163;-0.008054;-0.004036
42;-0.007470;0.003274;-0.000510
43;-0.009858;-0.004811;-0.007258
44;0.001432;-0.000856;-0.011259
45;-0.004308;-0.003770;0.001392
46;0.001733;-0.004869;-0.000951
47;-0.003049;-0.003293;0.009143
48;-0.006087;-0.005255;-0.000348
49;0.006829;-0.007583;-0.001294
50;0.008445;-0.005289;-0.001701
51;0.003979;-0.001096;-0.007351
52;0.009232;-0.004982;0.002994
53;-0.001215;-0.002314;0.002754
54;-0.010435;0.005983;0.001361
55;-0.013244;-0.002714;0.012273
56;-0.006587;-0.008961;0.006268
57;-0.004289;-0.009749;0.021163
58;-0.005576;-0.010335;0.022051
59;-0.013043;-0.001968;0.010642
60;-0.017310;-0.008539;0.010449
61;-0.017333;-0.008921;0.003820
62;-0.011571;-0.006128;0.001680
63;-0.005639;0.000544;0.002548
64;0.007631;-0.002537;-0.003681
65;0.008093;-0.007105;0.000123
66;0.001466;-0.003632;-0.011747
67;0.004563;-0.001714;-0.014929
68;0.012906;-0.002215;-0.009685
69;0.003726;-0.018656;-0.007978
70;0.005309;-0.014200;0.002048
71;0.023854;-0.007421;0.012281
72;0.010766;-0.008626;0.005413
73;0.008326;-0.010966;-0.007294
74;-0.003281;-0.000009;-0.014212
75;-0.012004;0.006935;-0.010859
76;0.005948;0.012307;-0.012948
77;0.012395;0.011526;0.005503
78;-0.039343;-0.016281;0.044694
79;-0.030083;-0.012706;0.006540
80;-0.011993;0.018390;0.017805
81;-0.003351;-0.006764;0.010709
82;-0.011314;-0.015353;-0.005500
83;-0.022666;-0.037817;-0.012581
84;0.012305;0.026761;-0.009190
85;0.034707;-0.013511;-0.008591
86;0.059363;-0.022985;0.011088
87;-0.003912;-0.033816;0.026269
88;-0.013412;-0.015714;-0.002923
89;-0.019039;0.016340;0.030180
90;-0.006204;0.049038;0.027496
91;0.023107;-0.023018;0.022590
92;0.000653;-0.040163;0.040703
93;-0.065916;0.035448;0.018479
94;-0.053802;0.058818;0.020905
95;-0.020527;-0.021280;0.049583
96;0.002704;-0.038007;0.068474
97;0.029167;-0.020755;0.031263
98;0.041742;-0.040790;-0.030088
99;0.062443;-0.015590;-0.014848
100;0.045962;-0.013910;-0.005467
101;0.047291;-0.005136;-0.032813
102;0.027226;0.009779;-0.030429
103;0.019685;0.061533;-0.014574
104;0.047230;0.045648;0.006511
105;0.119848;-0.019570;0.002689
106;0.192362;0.084230;0.094607
107;0.180292;0.113348;0.032266
108;0.105346;0.031386;-0.093629
109;0.045361;0.059529;-0.214966
110;0.001071;0.036155;-0.179590
111;-0.082883;0.042900;-0.052812
112;-0.155152;0.108404;0.149941
113;-0.039787;0.154592;0.138485
114;-0.020340;-0.028889;0.041567
115;-0.124521;-0.157439;0.068062
116;-0.181334;-0.160456;0.102532
117;-0.101122;-0.176260;0.094737
118;-0.043438;-0.147576;0.011993
119;0.066736;-0.076809;-0.134184
120;0.268551;0.024486;-0.204402
121;0.049281;-0.019476;-0.129201
122;-0.110233;-0.081365;-0.169490
123;-0.162698;-0.162192;0.056881
124;-0.323060;0.147907;0.114591
125;0.105293;0.467950;-0.103388
126;-0.192374;-0.165648;0.178458
127;-0.164153;0.000401;0.299263
128;0.139549;0.001122;0.055763
129;-0.040136;0.046821;0.074039
130;0.032575;-0.078876;0.012404
131;0.083244;-0.025628;0.047208
132;0.085354;-0.022384;0.072772
133;0.025277;-0.042354;0.037280
134;0.014973;-0.027206;-0.075901
135;0.026385;-0.040098;-0.060668
136;0.050694;-0.072404;0.014137
137;0.092478;0.001909;-0.014182
138;0.070788;-0.011367;0.045911
139;0.050680;0.022291;0.039347
140;0.005822;0.016373;0.024473
141;0.062669;-0.003636;0.014497
142;0.185745;0.012253;0.016867
143;0.142836;0.051726;0.005772
144;0.111427;0.068936;-0.107120
145;0.159226;0.057616;-0.127769
146;0.143402;0.167911;-0.106955
147;-0.009620;0.042637;-0.177613
148;-0.107261;0.083777;-0.153418
149;-0.081882;0.123221;0.077658
150;0.130477;0.140563;0.113632
151;0.022375;0.010297;0.080973
152;-0.145649;-0.077884;0.044569
153;-0.144899;-0.118586;0.124727
154;-0.127088;-0.127160;0.130400
155;-0.128663;-0.204252;0.165091
156;-0.053234;-0.221119;0.076878
157;0.106436;-0.137523;-0.085435
158;0.144148;-0.009923;-0.179476
159;0.037271;0.122952;-0.138125
160;-0.022949;-0.046614;-0.192270
161;-0.085942;-0.134337;-0.078096
162;-0.204574;0.284927;0.102004
163;0.114944;0.442908;-0.056244
164;-0.460298;-0.348806;0.008455
165;-0.255584;-0.200210;0.453324
166;0.360313;0.312686;0.246702
167;-0.049589;0.000200;0.012232
168;-0.091688;-0.099361;-0.029214
169;0.018694;-0.016442;0.048735
170;0.064812;-0.112141;0.125519
171;0.164349;-0.061253;0.007915
172;0.092131;-0.037522;-0.039171
173;0.099706;-0.049359;-0.042281
174;0.137514;0.082116;-0.064621
175;0.091131;0.056584;-0.106335
176;0.168991;0.011962;0.031547
177;0.094843;0.067189;-0.059283
178;0.105504;0.051010;-0.163041
179;0.329100;0.200439;0.023036
180;0.260446;0.060518;-0.039177
181;-0.114471;0.059029;-0.135148
182;-0.303144;0.246879;-0.037165
183;0.054273;0.110085;0.168643
184;0.121680;0.126682;0.112366
185;-0.161724;0.019302;0.127528
186;-0.237000;-0.082051;0.168206
187;-0.140396;-0.208640;0.162137
188;-0.126875;-0.170409;0.190736
189;-0.085711;-0.289884;0.141460
190;-0.042712;-0.241203;-0.043494
191;0.207821;0.022664;-0.285693
192;0.240466;0.058771;-0.139619
193;-0.058376;0.015787;-0.098205
194;-0.038282;-0.060515;-0.096162
195;-0.186030;0.647586;-0.141530
196;-0.262051;-0.018550;0.042148
197;-0.309695;-0.337722;0.276693
198;-0.040474;0.147346;0.486658
199;0.100305;0.097357;0.041324
200;-0.126086;-0.043857;0.077338
201;-0.158360;-0.070758;0.000011
202;0.133981;0.023112;0.092340
203;0.127524;-0.100686;0.077035
204;0.096084;-0.098978;-0.058331
205;0.038430;-0.034775;-0.120608
206;0.132761;-0.073558;-0.069016
207;0.190923;0.022722;-0.006485
